iter_end,module,count,total_ms,mean_ms,min_ms,max_ms
580,qkv_proj,360,14.7620,0.0410,0.0379,0.1567
590,attn,360,248.6989,0.6908,0.6666,0.9708
590,attn_kernel,360,214.1112,0.5948,0.5724,0.8356
590,down_proj,360,22.0375,0.0612,0.0594,0.0635
590,gate_up_proj,360,37.4589,0.1041,0.1014,0.1085
590,mlp,360,67.7304,0.1881,0.1843,0.1925
590,o_proj,360,13.5823,0.0377,0.0369,0.0399
590,qkv_proj,360,14.6248,0.0406,0.0379,0.0686
600,attn,360,254.9187,0.7081,0.6707,1.0076
600,attn_kernel,360,220.3668,0.6121,0.5765,0.8714
600,down_proj,360,22.0334,0.0612,0.0594,0.0635
600,gate_up_proj,360,37.3944,0.1039,0.1014,0.1075
600,mlp,360,67.6516,0.1879,0.1843,0.1925
600,o_proj,360,13.5916,0.0378,0.0369,0.0399
600,qkv_proj,360,14.6186,0.0406,0.0379,0.0819
610,attn,360,259.0781,0.7197,0.7004,1.1162
610,attn_kernel,360,224.4065,0.6234,0.6062,0.9482
610,down_proj,360,22.0303,0.0612,0.0594,0.0635
610,gate_up_proj,360,37.3596,0.1038,0.1014,0.1075
610,mlp,360,67.5973,0.1878,0.1843,0.1925
610,o_proj,360,13.5916,0.0378,0.0358,0.0399
610,qkv_proj,360,14.6483,0.0407,0.0379,0.0983
620,attn,360,259.1580,0.7199,0.7035,1.0670
620,attn_kernel,360,224.5427,0.6237,0.6072,0.9216
620,down_proj,360,21.9894,0.0611,0.0594,0.0635
620,gate_up_proj,360,37.3207,0.1037,0.1004,0.1085
620,mlp,360,67.5523,0.1876,0.1843,0.1915
620,o_proj,360,13.5875,0.0377,0.0369,0.0399
620,qkv_proj,360,14.6248,0.0406,0.0379,0.0768
630,attn,360,259.1785,0.7199,0.7035,1.0281
630,attn_kernel,360,224.5847,0.6238,0.6093,0.8899
630,down_proj,360,22.0396,0.0612,0.0594,0.0635
630,gate_up_proj,360,37.3289,0.1037,0.1014,0.1075
630,mlp,360,67.5533,0.1876,0.1843,0.1925
630,o_proj,360,13.5854,0.0377,0.0369,0.0399
630,qkv_proj,360,14.6145,0.0406,0.0389,0.0676
640,attn,360,259.2215,0.7201,0.7035,1.0445
640,attn_kernel,360,224.5724,0.6238,0.6083,0.8827
640,down_proj,360,22.0375,0.0612,0.0594,0.0645
640,gate_up_proj,360,37.3268,0.1037,0.1014,0.1075
640,mlp,360,67.5973,0.1878,0.1843,0.1925
640,o_proj,360,13.5967,0.0378,0.0358,0.0399
640,qkv_proj,360,14.6217,0.0406,0.0379,0.0911
