iter,type,batch_size,num_tokens,max_seq_len,t_start_ms,t_end_ms,duration_ms
249,prefill,2,8192,24504,152491.81,152504.101,12.291
250,prefill,1,8192,14461,153756.308,153768.913,12.605
251,prefill,1,8192,22653,154808.177,154820.443,12.266
252,prefill,2,8192,30469,155502.101,155515.292,13.19
253,prefill,1,8192,8569,156770.218,156784.18,13.961
254,prefill,1,8192,16761,158548.13,158560.528,12.398
255,prefill,1,8192,24953,158998.761,159011.178,12.417
256,prefill,2,8192,26563,160012.787,160024.894,12.108
257,prefill,1,8192,14775,161380.5,161393.083,12.583
258,prefill,1,8192,22967,162435.325,162447.101,11.776
259,prefill,2,8192,26392,163140.084,163152.596,12.513
260,prefill,1,8192,12960,164423.724,164436.045,12.321
261,prefill,1,8192,21152,165618.31,165630.14,11.83
262,prefill,1,8192,29344,166250.325,166262.709,12.385
263,prefill,2,8192,31809,167455.265,167467.555,12.29
264,prefill,1,4476,10204,169010.901,169023.153,12.252
265,prefill,1,8192,8193,170135.287,170147.03,11.744
266,prefill,1,8192,16385,171103.307,171114.399,11.093
267,prefill,2,8192,20707,171115.175,171126.135,10.96
268,prefill,1,8192,12063,172100.683,172113.155,12.471
269,prefill,1,8192,20255,173226.217,173238.206,11.989
270,prefill,2,8192,24533,173840.453,173853.062,12.61
271,prefill,1,8192,12107,175007.047,175019.229,12.182
272,prefill,2,8192,16964,176233.431,176245.35,11.919
273,prefill,1,8192,11528,176837.18,176849.764,12.584
274,prefill,1,8192,19720,177889.24,177900.924,11.684
275,prefill,1,61,19781,178487.43,178584.012,96.582
276,decode,33,40,19782,179633.121,179633.81,0.689
277,prefill,1,8192,8193,179678.681,179690.96,12.278
278,prefill,1,8192,16385,179702.791,179714.734,11.943
279,prefill,1,8192,24577,180337.83,180350.323,12.493
280,prefill,1,2472,27049,181333.492,181346.031,12.54
281,decode,32,32,27050,182686.119,182686.66,0.541
282,prefill,1,8192,8193,183224.671,183236.434,11.762
283,prefill,1,8192,16385,183252.282,183264.26,11.978
284,prefill,1,7543,23928,183887.612,183900.103,12.491
285,decode,32,32,23929,184884.457,184885.409,0.952
286,prefill,1,8192,8193,186168.114,186180.341,12.227
287,prefill,1,8192,16385,186193.991,186205.663,11.671
288,prefill,1,8192,24577,186828.623,186841.182,12.56
289,prefill,1,5903,30480,187824.397,187836.97,12.573
290,decode,31,32,30481,189177.386,189178.228,0.842
291,prefill,1,8192,8193,190437.194,190449.256,12.062
292,prefill,1,8192,16385,190466.265,190478.335,12.071
293,prefill,1,8192,24577,191102.037,191114.451,12.414
294,prefill,1,4663,29240,192098.318,192110.608,12.29
295,decode,31,32,29241,193451.935,193452.628,0.694
296,prefill,1,8192,8193,194439.511,194451.342,11.831
297,prefill,1,8192,16385,194467.931,194480.126,12.195
298,prefill,1,8192,24577,195103.242,195115.736,12.494
299,prefill,2,8192,26133,196099.743,196111.744,12.001
300,prefill,1,8192,14829,197451.618,197463.872,12.254
301,prefill,2,8192,17443,198496.878,198508.573,11.695
302,prefill,1,8192,13771,199201.914,199214.454,12.54
303,prefill,1,1645,15416,200151.795,200163.781,11.986
304,decode,34,40,15417,200861.117,200861.743,0.626
305,prefill,1,8192,8193,201127.96,201139.626,11.666
306,prefill,1,8192,16385,201149.267,201161.153,11.887
307,prefill,1,8192,24577,201784.487,201797.104,12.617
308,prefill,1,5840,30417,202780.614,202793.158,12.544
309,decode,35,40,30418,204132.929,204133.512,0.583
310,prefill,1,8192,8193,205382.494,205394.736,12.242
311,prefill,1,8192,16385,205413.678,205425.833,12.155
312,prefill,1,1963,18348,206048.881,206061.676,12.795
313,decode,36,40,18349,207044.886,207045.36,0.473
314,prefill,1,8192,8193,207398.752,207410.429,11.677
315,prefill,1,8192,16385,207422.544,207434.727,12.183
316,prefill,1,1467,17852,208058.311,208071.067,12.757
317,decode,37,40,17853,209055.07,209055.659,0.589
318,decode,37,40,7202,209339.896,209340.377,0.482
319,decode,37,40,7203,209363.431,209363.861,0.43
320,decode,37,40,7204,209396.142,209396.549,0.407
321,decode,37,40,7205,209428.382,209428.808,0.426
322,decode,37,40,7206,209460.916,209461.362,0.445
323,decode,37,40,7207,209493.23,209493.639,0.409
324,decode,37,40,7208,209525.669,209526.083,0.414
325,decode,37,40,7209,209558.259,209558.655,0.397
326,decode,37,40,7210,209590.706,209591.12,0.414
327,decode,37,40,7211,209623.272,209623.689,0.417
328,decode,37,40,7212,209655.807,209656.213,0.406
329,decode,37,40,7213,209688.313,209688.712,0.399
330,decode,37,40,7214,209720.835,209721.241,0.406
331,decode,37,40,7215,209753.38,209753.792,0.412
332,decode,37,40,7216,209786.034,209786.435,0.401
333,decode,37,40,7217,209818.531,209818.973,0.442
334,decode,37,40,7218,209851.189,209851.625,0.436
335,decode,37,40,7219,209883.729,209884.158,0.429
336,decode,37,40,7220,209916.239,209916.66,0.421
337,decode,37,40,7221,209948.701,209949.115,0.414
338,decode,37,40,7222,209981.263,209981.663,0.4
339,decode,37,40,7223,210013.808,210014.231,0.423
340,decode,37,40,7224,210046.617,210047.056,0.439
341,decode,37,40,7225,210079.054,210079.454,0.4
342,decode,37,40,7226,210111.727,210112.141,0.414
343,decode,37,40,7227,210144.394,210144.809,0.416
344,decode,37,40,7228,210177.168,210177.575,0.407
345,decode,37,40,7229,210209.834,210210.254,0.42
346,decode,37,40,7230,210242.538,210242.974,0.436
347,decode,37,40,7231,210275.196,210275.594,0.398
348,decode,37,40,7232,210307.924,210308.328,0.404
349,decode,37,40,7233,210340.57,210340.986,0.415
350,decode,37,40,7234,210373.195,210373.598,0.403
351,decode,37,40,7235,210405.847,210406.247,0.401
352,decode,37,40,7236,210438.7,210439.112,0.412
353,decode,37,40,7237,210471.422,210471.842,0.42
354,decode,37,40,7238,210504.095,210504.494,0.399
355,decode,37,40,7239,210536.854,210537.287,0.433
356,decode,37,40,7240,210569.455,210569.872,0.417
357,decode,37,40,7241,210602.054,210602.462,0.408
358,decode,37,40,7242,210634.876,210635.274,0.399
359,decode,37,40,7243,210667.573,210668.022,0.449
360,decode,37,40,7244,210700.432,210700.852,0.42
361,decode,37,40,7245,210732.958,210733.356,0.399
362,decode,37,40,7246,210765.84,210766.292,0.452
363,decode,37,40,7247,210798.39,210798.799,0.409
364,decode,37,40,7248,210831.204,210831.601,0.397
365,decode,37,40,7249,210863.877,210864.279,0.402
366,decode,37,40,7250,210896.811,210897.226,0.415
367,decode,37,40,7251,210929.548,210929.978,0.43
368,decode,37,40,7252,210962.311,210962.733,0.423
369,decode,37,40,7253,210995.134,210995.554,0.42
370,decode,37,40,7254,211027.971,211028.372,0.401
371,decode,37,40,7255,211060.752,211061.162,0.41
372,decode,37,40,7256,211093.49,211093.902,0.412
373,decode,37,40,7257,211126.353,211126.759,0.406
374,decode,37,40,7258,211159.208,211159.609,0.401
375,decode,37,40,7259,211191.955,211192.356,0.401
376,decode,37,40,7260,211224.894,211225.318,0.425
377,decode,37,40,7261,211257.673,211258.125,0.452
378,decode,37,40,7262,211290.477,211290.894,0.418
379,decode,37,40,7263,211323.246,211323.646,0.401
380,decode,37,40,7264,211356.293,211356.693,0.4
381,decode,37,40,7265,211389.063,211389.466,0.403
382,decode,37,40,7266,211421.9,211422.3,0.401
383,decode,37,40,7267,211454.653,211455.068,0.415
384,decode,37,40,7268,211487.6,211488.015,0.414
385,decode,37,40,7269,211520.501,211520.912,0.411
386,decode,37,40,7270,211553.405,211553.822,0.417
387,decode,37,40,7271,211586.685,211587.208,0.523
388,decode,37,40,7272,211619.136,211619.539,0.403
389,decode,37,40,7273,211651.892,211652.295,0.403
390,decode,37,40,7274,211684.829,211685.231,0.401
391,decode,37,40,7275,211717.615,211718.03,0.415
392,decode,37,40,7276,211750.592,211751.01,0.418
393,decode,37,40,7277,211783.426,211783.837,0.411
394,decode,37,40,7278,211816.423,211816.854,0.43
395,decode,37,40,7279,211849.2,211849.602,0.402
396,decode,37,40,7280,211882.172,211882.57,0.398
397,decode,37,40,7281,211915.158,211915.557,0.4
398,decode,37,40,7282,211948.119,211948.521,0.401
399,decode,37,40,7283,211981.004,211981.405,0.402
400,decode,37,40,7284,212014.072,212014.473,0.402
401,decode,37,40,7285,212046.827,212047.228,0.401
402,decode,37,40,7286,212079.693,212080.133,0.44
403,decode,37,40,7287,212112.545,212112.954,0.409
404,decode,37,40,7288,212145.544,212145.955,0.412
405,decode,37,40,7289,212178.487,212178.898,0.411
406,decode,37,40,7290,212211.534,212211.951,0.417
407,decode,37,40,7291,212244.573,212244.986,0.413
408,prefill,1,8192,8193,212280.107,212292.73,12.624
409,prefill,1,8192,16385,212309.932,212323.498,13.566
410,prefill,2,8192,20346,212945.196,212958.459,13.263
411,prefill,1,8192,12424,213940.696,213953.173,12.476
412,prefill,1,8192,20616,215039.984,215051.652,11.668
413,prefill,2,8192,24697,215667.0,215679.508,12.508
414,prefill,1,8192,12304,216850.373,216862.68,12.307
415,prefill,1,8192,20496,218064.979,218076.977,11.998
416,prefill,1,8192,28688,218676.322,218688.919,12.597
417,prefill,2,8192,33399,219854.083,219866.496,12.413
418,prefill,1,8192,11674,221382.037,221394.378,12.341
419,prefill,2,8192,17157,222909.885,222921.719,11.834
420,prefill,1,8192,10902,223458.267,223470.621,12.354
421,prefill,1,8192,19094,224532.613,224544.234,11.621
422,prefill,1,8192,27286,225118.466,225131.053,12.588
423,prefill,2,8192,30313,226234.671,226247.178,12.507
424,prefill,1,8192,13358,227702.062,227714.672,12.609
425,prefill,1,8192,21550,228973.615,228985.312,11.697
426,prefill,2,8192,23339,229585.069,229597.552,12.483
427,prefill,1,8192,14596,230807.13,230819.734,12.604
428,prefill,1,8192,22788,231833.398,231845.062,11.665
429,prefill,1,8192,30980,232533.879,232546.334,12.455
430,prefill,2,8192,35061,233810.189,233822.292,12.102
431,prefill,1,8192,12304,235436.676,235449.305,12.629
432,prefill,2,8192,13316,236929.223,236940.871,11.648
433,prefill,1,8192,15373,237500.06,237512.48,12.42
434,prefill,1,8192,23565,238327.999,238339.001,11.002
435,prefill,2,8192,27055,239119.978,239132.545,12.567
436,prefill,1,8192,12895,240428.562,240441.002,12.439
437,prefill,2,8192,16759,241667.875,241679.589,11.714
438,prefill,1,8192,12521,242286.751,242299.348,12.596
439,prefill,1,8192,20713,243279.75,243291.385,11.634
440,prefill,2,8192,26173,243934.62,243947.193,12.573
441,prefill,1,8192,10925,245120.945,245133.501,12.556
442,prefill,2,8192,18547,246490.846,246502.599,11.753
443,prefill,1,8192,8763,247046.524,247059.131,12.608
444,prefill,1,8192,16955,248281.816,248293.525,11.71
445,prefill,2,8192,21067,248775.267,248787.754,12.487
446,prefill,2,8192,11004,249797.307,249809.711,12.404
447,prefill,1,8192,9462,250904.452,250916.455,12.003
448,prefill,1,8192,17654,251608.6,251620.363,11.763
449,prefill,2,8192,19509,252165.245,252178.58,13.335
450,prefill,1,8192,14530,253217.825,253231.061,13.235
451,prefill,1,8192,22722,254175.858,254187.963,12.105
452,prefill,1,8192,30914,254898.736,254912.086,13.35
453,prefill,2,8192,34372,256171.545,256184.7,13.155
454,prefill,1,8192,12927,257796.533,257809.602,13.069
455,prefill,1,8192,21119,259209.608,259221.698,12.09
456,prefill,2,8192,25983,259805.951,259819.224,13.274
457,prefill,1,8192,11521,261010.082,261022.28,12.198
458,prefill,1,8192,19713,262330.891,262344.199,13.307
459,prefill,2,8192,26372,262904.683,262917.238,12.555
460,prefill,1,8192,9726,264046.945,264059.463,12.518
461,prefill,2,8192,11345,265559.476,265571.504,12.029
462,prefill,1,8192,14766,266057.409,266070.025,12.616
463,prefill,2,8192,21356,266861.757,266872.95,11.193
464,prefill,1,8192,9795,267644.051,267656.598,12.547
465,prefill,1,8192,17987,268947.364,268959.645,12.281
466,prefill,2,8192,23798,269467.942,269480.474,12.532
467,prefill,1,8192,10574,270537.121,270549.543,12.422
468,prefill,1,8192,18766,271863.65,271875.484,11.834
